x,y
2172,134
2173,131
2174,123
2175,161
2176,163
2177,163
2178,163
2179,163
2180,163
2181,163
2182,106
2183,104
2184,104
2185,106
2186,162
2187,164
2188,165
2189,164
2190,164
2191,164
2192,164
2193,163
2194,139
2195,135
2196,134
2197,135
2198,138
2199,138
2200,135
2201,161
2202,162
2203,162
2204,162
2205,162
2206,139
2207,137
2208,136
2209,137
2210,136
2211,132
2212,130
2213,130
2214,130
2215,130
2216,132
2217,137
2218,137
2219,137
2220,140
2221,162
2222,162
2223,162
2224,162
2225,161
2226,135
2227,130
2228,138
2229,137
2230,136
2231,137
2232,139
2233,107
2234,163
2235,163
2236,163
2237,162
2238,163
2239,163
2240,164
2241,81
2242,80
2243,80
2244,163
2245,164
2246,164
2247,164
2248,164
2249,164
2250,163
2251,162
2252,130
2253,131
2254,133
2255,133
2256,134
2257,138
2258,108
2259,162
2260,162
2261,162
2262,162
2263,162
2264,129
2265,130
2266,131
2267,130
2268,130
2269,135
2270,130
2271,135
2272,162
2273,161
2274,161
2275,161
2276,161
2277,139
2278,137
2279,136
2280,136
2281,137
2282,138
2283,130
2284,130
2285,130
2286,130
2287,138
2288,137
2289,137
2290,137
2291,134
2292,107
2293,107
2294,107
2295,134
2296,162
2297,163
2298,164
2299,164
2308,107
2309,108
2310,107
2311,138
2312,137
2313,137
2314,137
2315,134
2316,107
2317,162
2318,162
2319,162
2320,162
2321,162
2322,135
2323,140
2324,139
2325,137
2326,137
2327,140
2328,141
2329,134
2330,135
2331,135
2332,135
2333,135
2334,135
2335,140
2336,137
2337,133
2338,133
2339,133
2340,131
2341,107
2342,108
2343,108
2344,107
2345,107
2346,106
2347,130
2348,130
2349,129
2350,130
2351,123
2352,105
2353,106
2354,106
2355,107
2356,107
2357,178
2358,182
2359,183
2360,184
2361,179
2362,179
2363,162
2364,108
2365,108
2366,108
2367,108
2368,108
2369,138
2370,137
2371,134
2372,137
2373,134
2374,129
2375,105
2376,105
2377,105
2378,105
2379,105
2380,107
2381,130
2382,135
2383,130
2384,129
2385,131
2386,130
2387,128
2388,107
2389,107
2390,107
2391,107
2392,161
2393,107
2394,137
2395,133
2396,130
2397,131
2398,137
2399,139
2400,135
2401,108
2402,107
2403,107
2404,107
2405,107
2406,134
2407,137
2408,131
2409,131
2410,137
2411,139
2412,135
2413,108
2414,135
2415,135
2416,135
2417,134
2418,134
2419,134
2420,135
2421,135
2422,161
2423,161
2424,161
2425,135
2426,108
2427,108
2428,108
2429,130
2430,134
2431,137
2432,137
2433,131
2434,129
2435,108
2436,108
2437,108
2438,135
2439,135
2440,135
2441,135
2442,136
2443,136
2444,138
2445,141
2446,107
2447,162
2448,162
2449,162
2450,135
2451,161
2452,140
2453,137
2454,132
2455,132
2456,135
2457,138
2458,106
2459,135
2460,135
2461,135
2462,107
2463,161
2464,106
2465,139
2466,140
2467,137
2468,139
2469,138
2470,128
2471,108
2472,107
2482,107
2483,108
2484,108
2485,162
2486,162
2487,162
2488,162
2489,139
2490,131
2491,137
2492,137
2493,138
2494,139
2495,135
2496,135
2497,135
2498,135
2499,135
2500,130
2501,135
2502,135
2503,134
2504,136
2505,138
2506,138
2507,123
2508,123
2509,123
2510,123
2511,139
2512,139
2513,137
2514,137
2515,138
2516,138
2517,129
2518,107
2519,107
2520,107
2521,108
2522,135
2523,129
2524,137
2525,136
2526,136
2527,136
2528,135
2529,161
2530,107
2531,107
2532,107
2533,107
2534,107
2535,107
2536,107
2537,107
2538,107
2539,107
2540,108
2541,135
2542,135
2543,135
2544,135
2545,135
2546,135
2547,135
2548,140
2549,136
